Project Description,Location,Contractor,Cost,Completion Date
"Rehabilitation of Drainage System, Barangay 158, Caloocan City",CALOOCAN CITY,AVE-MIRA CONSTRUCTION AND TRADING,4875644.24,9/9/2024
"Construction of Slope Protection Along Pateros River, (Phase 1), Taguig City",TAGUIG CITY,"B. BERNARDO CONST., INC.",70890893.2,9/9/2024
"Construction of Pambujan Flood Control Structure, Pambujan River Basin, Pambujan, Northern Samar",NORTHERN SAMAR,CDU CONSTRUCTION,48969801.32,9/8/2024
"Construction of Flood Control Structure, Barangay Burol, Looc, Occidental Mindoro",ROMBLON,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,19599535.39,9/8/2024
"Construction of Agos RIS Water Management Flood Control Project of Agos River, Gen. Nakar, Quezon",QUEZON,DQT BUILDERS CORPORATION (FORMERLY DQT BUILDERS),51467062.5,9/8/2024
"Construction of Flood Control Structures along San Isidro Creek - Tarlac River Section, San Isidro, Tarlac City, Tarlac",TARLAC,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,70000000.0,9/8/2024
"Construction of Flood Mitigation Structure, Barangay Gaya-gaya, San Jose del Monte City, Bulacan",BULACAN,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,48994496.09,9/8/2024
"Construction of Drainage Canal along Sitio Binasay, Brgy. 40 Balatong, Laoag City, Ilocos Norte",ILOCOS NORTE,ZEDIK BUILDERS,4949900.42,9/8/2024
"Construction of Pumping Station, Apacible Street along Estero de Paco, Brgy. 673, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / JIM AND JEM CONSTRUCTION SERVICES,96490182.48,9/8/2024
"Construction of Drainage System along C-4 Road, Navotas City",NAVOTAS CITY,C.B. TAMPENGCO CONSTRUCTION & SUPPLY,29399809.82,9/8/2024
"Construction of Flood Control Structure along Pandurucan Riverbank, Brgy. Pag-asa, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,J.H.R. ENTERPRISES,24499178.88,9/7/2024
"Construction of Flood Mitigation Structure along Banilla River, Umingan - Balungao, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96351208.8,9/7/2024
"Construction of Flood Mitigation Structure and Drainage System along Cadaanan River, Upstream and Downstream of Cadaanan Bridge, Barangay Balioeg, Banna, Ilocos Norte",ILOCOS NORTE,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,72374725.65,9/7/2024
"Construction of Flood Mitigation Structure Construction of Flood Mitigation Structure along Titunod Bridge II (B00956MN), Downstream (R/S), Kolambugan, Lanao del Norte",LANAO DEL NORTE,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R",48009820.77,9/6/2024
"Construction of Lamak Punod Sibago CIS Flood Protection Dike, Pinamungajan, Cebu",CEBU,VEN RAY CONSTRUCTION CORPORATION,14655082.09,9/6/2024
"Construction of Riverbank Protection Structure at Barangay San Antonio and Barangay San Vicente, San Pedro City, Laguna",LAGUNA,D.T. RECIO INCORPORATED,28719279.7,9/6/2024
"Construction of Flood Control Structure, Barangay Tungkong Mangga, San Jose del Monte, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",29394604.89,9/6/2024
"Construction of Sanchez Mira Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan",CAGAYAN,OCP CONSTRUCTION,48248286.07,9/6/2024
"Construction of Riverbank Protection along Sinucalan River, Barangay Calmay-Barangay Carael, Dagupan City, Pangasinan",PANGASINAN,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),48994543.21,9/6/2024
"Construction of Flood Control along Sinait River, Barangay Aguing, Sinait, Ilocos Sur",ILOCOS SUR,739 BUILDERS,35065183.86,9/6/2024
"Construction of Drainage, Herculina L. Edig Es.,Canocotan,Tagum Davao del Norte",DAVAO DEL NORTE,"CARESYSTEM TECHNOLOGY SOLUTION CO., INC.",4949970.75,9/5/2024
"Construction of Revetment Wall along Talaba River Flood Control, Barangay Canduling, Ronda, Cebu",CEBU,FIRST GRANDEUR BUILDERS,39196415.8,9/5/2024
"Construction of Flood Mitigation Structure at Sapangdaku River, Barangay Daanglungsod - Barangay Dumlog, Toledo City, Cebu",CEBU,VEN RAY CONSTRUCTION CORPORATION,49000000.0,9/5/2024
"Construction of Tangyan River Control and Revetment Structure, Guimbal, Iloilo",ILOILO,SKF BUILDERS AND SUPPLIES CORP.,19280582.34,9/5/2024
"Construction of Flood Control Project along Labangan River, Dipaya, Labangan, Zamboanga del Sur",ZAMBOANGA DEL SUR,GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS),29382350.72,9/5/2024
"Construction of Flood Control Structure, Mapangi River Basin, Tambulig, Zamboanga Del Sur",ZAMBOANGA DEL SUR,GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS),29374937.82,9/5/2024
"Construction of Tanabag River Waterway, (Upstream Rightside), Palawan",PALAWAN,OCTAGON CONCRETE SOLUTIONS INC. / MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),154395357.94,9/5/2024
"Construction of Nagapi Riverbank Protection Works along Nagapi River (Upstream Rightside), Sablayan, Occidental Mindoro - (CO/RO)",OCCIDENTAL MINDORO,GOLDEN J'S CONSTRUCTION SERVICES,192997550.57,9/5/2024
"Construction of Bambang Cupas CIS Canal Lining and Flood Control Structure, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,N-J CONSTRUCTION,19600000.0,9/5/2024
"Construction of Slope Protection along Rio De Vega, Brgy. Coliling, San Carlos City, Pangasinan",PANGASINAN,MIGHTYWAY CONSTRUCTION AND SUPPLY,48216034.15,9/5/2024
"Construction of Duli Flood Control, Bunot, Paracelis, Mountain Province",MOUNTAIN PROVINCE,ED1SON DEVELOPMENT & CONSTRUCTION INC. / FLEURDELIS CONSTRUCTION AND SUPPLY,52744005.0,9/5/2024
"Construction of Flood Control Structure along Iligan River, Merila, Barangay Ubaldo Laya, Iligan City, Lanao Del Norte",LANAO DEL NORTE,THE HUANG BUILDERS INC.,9650000.0,9/4/2024
"Construction of Flood Control along P. Zamora River, Guihulngan City, Negros Oriental",NEGROS ORIENTAL,KOUKEN CONSTRUCTION,29400000.0,9/4/2024
"Rehabilitation of Drainage System at Karangalan P2B2 and Vicinity, Barangay Manggahan, Pasig City",PASIG CITY,816 EMBER CONSTRUCTION CORPORATION,14400000.0,9/4/2024
"Construction of Revetment along Gibong River, Azpetia Bridge Section, Prosperidad, Agusan del Sur",AGUSAN DEL SUR,J.M. LACORTE CONSTRUCTION,96498838.04,9/3/2024
"Construction of Flood Mitigation Structures along Kinabjangan River, Sitio Tagbabacon, Brgy. Culit, Nasipit, Agusan del Norte",AGUSAN DEL NORTE,ERRA CONSTRUCTION AND DEVELOPMENT INC. (FORMERLY ERRA CONSTRUCTION),19799998.83,9/3/2024
"Construction of Tide Protection Embankment, Barangay Poblacion Del Norte, Villaba, Leyte",LEYTE,KAUIE BUILDERS & SUPPLIES INC. (FORMERLY: KAUIE BUILDERS AND CONSTRUCTION SUPPLIES),48899611.47,9/3/2024
"Construction of Tide Protection Embankment, Barangay Poblacion Del Sur, Villaba, Leyte",LEYTE,KAUIE BUILDERS & SUPPLIES INC. (FORMERLY: KAUIE BUILDERS AND CONSTRUCTION SUPPLIES),48899918.9,9/3/2024
"Construction of Flood Control Structure at Tacup Bridge, San Remigio, Cebu",CEBU,DINAH RBS CONSTRUCTION AND SUPPLY INCORPORATED (FORMERLY: DINAH JANE CONSTRUCTION AND SUPPLY),29400000.0,9/3/2024
"Construction of Flood Control Structures along Sibalom River, Brgy. Nasuli, San Remigio, Antique",ANTIQUE,F & J GENERAL CONSTRUCTION AND SUPPLY CORPORATION,49000000.0,9/3/2024
"Construction of Flood Control Concrete Revetment, Segundo River, Barangay Madbad, Cawayan, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY,48848417.08,9/3/2024
"Construction of Slope Protection Structure along Ungot Creek, Tarlac City, Tarlac",TARLAC,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,50000000.0,9/3/2024
"Construction of River Channel Improvement along Talavera River (Brgy. Caputican), Talavera, Nueva Ecija",NUEVA ECIJA,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),73507517.6,9/3/2024
"Construction of Flood Control Structure along Meycauayan River and Its Tributaries, Sta. 03+900 - Sta. 04+100 (Liputan - Constantino Section, Right Side), Meycauayan, Bulacan",BULACAN,JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),67549945.46,9/3/2024
"Construction of Slope Protection, Barangay Paltao, Pulilan, Bulacan",BULACAN,TBB CONSTRUCTION CORP.,19299673.25,9/3/2024
"Construction of Riverbank Protection Structure at Barangay Iba, Hagonoy, Bulacan",BULACAN,WAWAO BUILDERS,77199192.34,9/3/2024
"Construction of Flood Control Structure along Pandam River, Orion, Bataan",BATAAN,BPQ CONSTRUCTION AND TRADING / POLYMER-VIC CONSTRUCTION,49000000.0,9/3/2024
"Construction of Drainage, Brgy. Cabilocaan, Calasiao, Pangasinan",PANGASINAN,JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,4815318.1,9/3/2024
"Construction of Drainage, Barangay Cabilocaan to Bued, Calasiao, Pangasinan",PANGASINAN,JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,6758718.76,9/3/2024
"Construction of Flood Control Structure, Barangay Tran, Lebak, Sultan Kudarat",SULTAN KUDARAT,JV CONSTECH,4924487.07,9/2/2024
"Construction of Protection Dike (Gabions) at Tayamaan River, Tayamaan, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,"NEW MINDORENOS LUMBER, HARDWARE AND GEN MERCHANDISE",11521786.89,9/2/2024
"Construction of Revetment along Lawaya River (Pinagbayaran Section), San Juan, Batangas",BATANGAS,N.D.M. SANCHEZ BUILDERS & DEVELOPMENT CORPORATION,96500000.0,9/2/2024
"Rehabilitation of Flood Control Structure along Magat River, (Phase 1) Barangay Busilac, Bayombong, Nueva Vizcaya",NUEVA VIZCAYA,V.B. MANUBAY CONSTRUCTION,49000000.0,9/2/2024
"Construction of Flood Control Structure along Cagayan River, Aguigican, Gattaran, Cagayan, Package 1",CAGAYAN,TJMT CONSTRUCTION,96490000.0,9/2/2024
"Construction of Flood Control Structure along Aringay River, Barangay Samara-Sta.Lucia, Aringay, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,144739151.62,9/2/2024
"Construction of Flood Control Structure at Culiat Creek, Barangay Sto. Cristo, Quezon City",QUEZON CITY,OSCORD BUILDERS CORPORATION,28805612.63,9/2/2024
"Rehabilitation of Drainage System at Karangalan Village, Barangay Dela Paz, Pasig City",PASIG CITY,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION),9600000.0,9/2/2024
"Improvement of Marikina River, Barangay Tumana, Marikina City (Phase 2)",MARIKINA CITY,"L.R. TIQUI BUILDERS, INC.",94547887.26,9/2/2024
"Construction of Flood Control Project (Roa Crusher) along Upper Balulang Section 2, Cagayan de Oro City",MISAMIS ORIENTAL,TRIPARCO DEVELOPMENT CORPORATION,66022355.72,9/1/2024
"Construction of Balbagon Seawall including Wave Breaker, Mambajao, Camiguin",CAMIGUIN,JEJOR'S CONSTRUCTION CORPORATION,47527222.7,9/1/2024
"Construction of Slope Protection along Camiguin Circumferential Road, Lawigan,Catarman, Camiguin",CAMIGUIN,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,72210824.16,9/1/2024
"Construction of Slope Protection along Cross-Country Road, Catarman to Mambajao (Package 1), Catarman, Camiguin",CAMIGUIN,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),96500000.0,9/1/2024
"Construction of Flood Control Structure along Jalaur River, Barangay Tuburan, Pototan, Iloilo",ILOILO,"J.S. LAYSON & CO. , INC.",33958511.47,9/1/2024
"Construction of Flood Control Structure, Suage River, Mina, Iloilo",ILOILO,"TIBIAO-ANTIQUE N.K. ENTERPRISE, INC.",59399635.55,9/1/2024
"Construction of Flood Control Structure along Ulian River, Dueñas, Iloilo",ILOILO,UBS UNITED BUILDERS AND SUPPLY INC.,39492437.76,9/1/2024
"Construction of Panacan River Flood Control Structure, Sta. 0 + 070 - Sta. 0 + 770 R/S Upstream, Barangay Poblacion, Narra, Palawan",PALAWAN,C.T. LEONCIO CONSTRUCTION & TRADING,50418886.99,9/1/2024
"Construction of Camiling-Agno River Floodway, Tarlac, Phase 4",TARLAC,BMK CONSTRUCTION CORPORATION (FORMERLY B.M.K. CONSTRUCTION) / ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,289499994.76,9/1/2024
"Construction of Sta. Lucia Flood Control Structure along Lamut River, Barangay Sta. Lucia, Bagabag, Nueva Vizcaya",NUEVA VIZCAYA,V.B. MANUBAY CONSTRUCTION,96500000.0,9/1/2024
"Construction of Slope Protection in Cagayan River Basin, Siffu River at Anao, Roxas, Isabela",ISABELA,RR BUILDERS / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),48968530.26,9/1/2024
"Construction of Siffu River Flood Control Project (Cullalabo Section) Burgos, Isabela",ISABELA,RR BUILDERS / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),96457919.01,9/1/2024
"Construction of Flood Mitigation Structure, Barangay Mayo, Mati City, Davao Oriental",DAVAO ORIENTAL,ECOMIXED CONSTRUCTION AND DEVELOPMENT CORPORATION,45949999.96,08/31/2024
"Construction of Revetment along Matina River, Outfall Section, Sta. 0+465 to Sta. 0+790, Left Bank, Davao City",DAVAO DEL SUR,MORTAR MASTERS & CONCRETE BUILDERS,94273146.01,08/31/2024
"Construction of Flood Control Structure at Tagoloan River, Package 10, Misamis Oriental",MISAMIS ORIENTAL,HAPPY ALL3 BUILDERS CORPORATION / EQUI-PARCO CONSTRUCTION COMPANY,266231274.69,08/31/2024
"Construction of Binalbagan River Bank Slope Protection along Binalbagan-Isabela Road (Left Bank), Negros Occidental",NEGROS OCCIDENTAL,C'ZARLES CONSTRUCTION & SUPPLY / JVC TOUGH CORE CONSTRUCTION & BUILDERS CORP.,88258900.0,08/31/2024
"Construction of Flood Mitigation Structure along Basag River (Upstream of Spillway facing Left And Right Side ), Barangay Basag, Ligao City, Albay.",ALBAY,SISBRO CONSTRUCTION CORPORATION (FORMERLY: SISBRO CONSTRUCTION & SUPPLY) / JACKNEL CONSTRUCTION,96500000.0,08/31/2024
"Construction of Flood Control Structure along Talavera River, Barangay Villa Viniegas, Llanera, Nueva Ecija",NUEVA ECIJA,IRC CONSTRUCTION & SUPPLIES / SYMMETRICON BUILDERS CORP.,47767457.52,08/31/2024
"Construction of Flood Control Structure along Banco River, Barangay Canaan East, Rizal, Nueva Ecija",NUEVA ECIJA,IRC CONSTRUCTION & SUPPLIES / SYMMETRICON BUILDERS CORP.,47767448.6,08/31/2024
"Construction of South Pinagkabalian Pumping Station (Phase 2), Malabon City",MALABON CITY,"E. F. CHUA CONSTRUCTION, INC.",144747339.87,08/31/2024
"Construction of Dike Revetment along Hubo River Basin Protecting Hubo Bridge, Upstream, Barangay Buhisan, San Agustin, Surigao del Sur",SURIGAO DEL SUR,CM TAN CONSTRUCTION,96499216.69,08/30/2024
"Construction of Flood Control along Sibuguey River, Barangay Villacastor, Buug, Zamboanga Sibugay Package 3",ZAMBOANGA SIBUGAY,JAYKRIS ENTERPRISES & CONSTRUCTION (FORMERLY: JAYKRIS ENTERPRISES),48898051.48,08/30/2024
"Construction of Flood Control Structure along Talavera River, Barangay Sicsican Matanda, Talavera, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC.,47771977.22,08/30/2024
"Construction of Flood Control Structure along Marang River, Barangay Beti, Aritao, Nueva Vizcaya",NUEVA VIZCAYA,INDUSTRIAL CONTROLS CORPORATION (ICC),129260223.39,08/30/2024
"Construction of Flood Control System (Riverbank Structure along Sinucalan and Allied River Package 2) Barangay San Jose-Pinmaludpod, Urdaneta City, Pangasinan",PANGASINAN,BUILDERS EXPONENT EMPIRE CORP. (FORMERLY: BUILDERS EXPONENT ENTERPRISE),29650972.66,08/30/2024
"Construction of Seawall, Barangay Nalvo, Pasuquin, Ilocos Norte",ILOCOS NORTE,LINEAR CONSTRUCTION CORP.,48999933.39,08/30/2024
"Construction of AMRIS Bambang Creek Slope Protection Structure, San Simon, Pampanga",PAMPANGA,JMSKI CONSTRUCTION AND TRADING,27841800.0,08/29/2024
"Construction of AMRIS Calantipay Creek Slope Protection, Baliwag, Bulacan",BULACAN,ANORE CONSTRUCTION,32666424.01,08/29/2024
"Construction of Reinforced Concrete Flood Control Structure along Angat River, Cambaog Section, Bustos, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,77199080.42,08/29/2024
"Construction of Revetment at Barangay Tampok, Hagonoy, Bulacan",BULACAN,SAMJS CONSTRUCTION SERVICES,29399600.57,08/29/2024
"Construction of Revetment at Barangay Santo Niño-Pungo, Calumpit, Bulacan",BULACAN,PTM DEVELOPMENT CORP.,48999926.03,08/29/2024
"Construction of Flood Mitigation Structure, Barangay Tanawan, Malinao, Albay",ALBAY,OMEGA CONTRACTING AND DEVELOPMENT CORP. / STEVEN CONSTRUCTION & SUPPLY,48250000.0,08/28/2024
"Construction of Flood Control Structure along Baliwag River, Barangay Mapangpang, Lupao, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC. / P.S. AQUINO CONSTRUCTION,47767657.74,08/28/2024
"Construction of Flood Control Structure along Labong River, Barangay San Juan, Licab, Nueva Ecija",NUEVA ECIJA,M.M. SERRANO CONSTRUCTION COMPANY,47767298.86,08/28/2024
"Construction/Rehabilitation of Flood Control Structures along Labong River, Brgy. San Juan, Licab, Nueva Ecija (Phase 2)",NUEVA ECIJA,M.M. SERRANO CONSTRUCTION COMPANY,38217763.57,08/28/2024
"Construction of Riverbank Protection Structure at Barangay Pritil, Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,96499556.14,08/28/2024
"Construction of Flood Control Structure along Gasile River, Pilar, Bataan",BATAAN,RAM BUILDERS & TRADING,28950000.0,08/28/2024
"Construction of Flood Mitigation Structure along Cagayan River - Phase III, Ngarag, Cabagan, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,139904118.4,08/28/2024
"Construction of Flood Control Structure, Paliwas Creek, Las Piñas City",LAS PIÑAS CITY,MRRM TRADING & CONSTRUCTION / KPSL GENERAL CONTRACTOR INC.,96395127.6,08/28/2024
"Construction of Donghol Flood Control Structure, Ormoc City, Leyte",LEYTE,JM COLLERA KONSTRACT,96399999.99,08/27/2024
"Construction of Seawall, Brgy. Poblacion, Municipality of Patnongon, Antique",ANTIQUE,"TIBIAO-ANTIQUE N.K. ENTERPRISE, INC.",14812420.01,08/27/2024
"Construction of Flood Mitigation Structure along Rangas River, Catagbacan (Phase 2), Goa, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,95536200.0,08/27/2024
"Construction of Slope Protection Structure along Balite Bridge, Taytay, Palawan",RIZAL,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),96499967.12,08/27/2024
"Construction of Bank Protection Structure along Susubaen Creek (Segment B), Ramos, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,55000000.0,08/27/2024
"Construction of Drainage at Sitio Cabio Bakal, Brgy. Sapalibutad, Angeles City, Pampanga",PAMPANGA,AL-B DEVELOPMENT CORPORATION,9797939.97,08/27/2024
"Construction of Flood Control Structure along Talavera River, Barangay Caputican, Talavera, Nueva Ecija",NUEVA ECIJA,RPP 928 CONSTRUCTION CORPORATION,28660843.38,08/27/2024
"Construction of Slope Protection along Agno River, Barangay Iton, Bayambang, Pangasinan (Phase II)",PANGASINAN,ALCEL CONSTRUCTION,48999990.55,08/27/2024
"Construction of Slope Protection along Agno River, Barangay San Gabriel 2nd, Bayambang, Pangasinan (Phase II)",PANGASINAN,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),48999982.86,08/27/2024
"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+848 - Sta. 002+278, Barangay Poblacion West, Agno, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,96500000.0,08/27/2024
"Construction of Oaig Daya-Paras Drainage Canal, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,14258847.48,08/27/2024
"Construction of Flood Control along San Juan River, Brgy. Resurreccion, San Juan, Ilocos Sur",ILOCOS SUR,FIT CONSTRUCTION,82004907.35,08/27/2024
"Construction of Flood Control Structure Along Bislak River, Barangay 34, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,48999740.13,08/27/2024
"Construction of Drainage Structure, Barangay Alunogan, Natonin, Mountain Province",MOUNTAIN PROVINCE,CNL CONSTRUCTION,4900000.0,08/27/2024
